# x [mm], Bz [mT]
0.000000000000000000e+00,-3.177030078520113876e-01,-8.089195550690340963e-02
2.267716535433070835e+00,-4.272970594079050222e-01,-5.235085150028590678e-02
4.535433070866141669e+00,-5.789430886012005839e-01,-1.042839110137566347e-02
6.803149606299212060e+00,-7.285776563548660434e-01,3.019997157198854934e-02
9.070866141732283339e+00,-1.053926345114579055e+00,1.336529548060428341e-01
1.133858267716535373e+01,-1.250034810005528518e+00,1.845274538207110626e-01
1.360629921259842412e+01,-1.565823731780361161e+00,2.863185131436868369e-01
1.587401574803149629e+01,-1.680316971996429931e+00,2.875367706547743429e-01
1.814173228346456668e+01,-1.789962679634069298e+00,3.451616524519564577e-01
2.040944881889763352e+01,-1.894761047695646017e+00,4.591934273175573566e-01
2.267716535433070746e+01,-2.084054812333870910e+00,4.602370676391395743e-01
2.494488188976377785e+01,-2.109273210930513009e+00,4.625380468015386493e-01
2.721259842519684824e+01,-2.129719051362661819e+00,4.638145755709510154e-01
2.948031496062991508e+01,-2.145392838858537043e+00,4.640666330248561233e-01
3.174803149606299257e+01,-2.156294174283958753e+00,4.632941982412636661e-01
3.401574803149605941e+01,-2.162423307409128803e+00,4.614972502987192970e-01
3.628346456692913335e+01,-2.208374117698586048e+00,4.774772829787711226e-01
3.855118110236220019e+01,-2.190320395733841963e+00,4.679960377760542523e-01
4.081889763779526703e+01,-2.171004707573526815e+00,4.593361301559447663e-01
4.308661417322834097e+01,-2.150426825348413562e+00,4.514975924982242983e-01
4.535433070866141492e+01,-2.128586767620427089e+00,4.444804571834582441e-01
4.762204724409448175e+01,-2.105485011586584854e+00,4.382847565928775779e-01
4.988976377952755570e+01,-2.081121458321426587e+00,4.329105231083890115e-01
5.215748031496062964e+01,-2.055496556301670719e+00,4.283577891126192361e-01
5.442519685039369648e+01,-2.028610144416568950e+00,4.246265869888912192e-01
5.669291338582676332e+01,-2.000462219118748219e+00,4.217169491211880117e-01
5.896062992125983016e+01,-1.903597142408895548e+00,3.977148349084489998e-01
6.122834645669291120e+01,-1.860071461649471125e+00,3.883796569816116429e-01
6.349606299212598515e+01,-1.801138323491071835e+00,3.787982098202587466e-01
6.576377952755905199e+01,-1.726798842051005201e+00,3.689704933218560523e-01
6.803149606299211882e+01,-1.637053071968225471e+00,3.588965073850790000e-01
7.029921259842518566e+01,-1.531902166323909409e+00,3.485762519098062340e-01
7.256692913385826671e+01,-1.504686888621469265e+00,3.378850526164952628e-01
7.483464566929133355e+01,-1.347533886734047170e+00,3.272059230559881127e-01
7.710236220472440039e+01,-1.171253389959314495e+00,3.165528732517866595e-01
7.937007874015746722e+01,-9.758461542739153005e-01,3.059259004761569756e-01
8.163779527559053406e+01,-7.613111372582588299e-01,2.953250020015419919e-01
8.390551181102361511e+01,-5.276474654877633119e-01,2.847501751005763193e-01
8.617322834645668195e+01,-2.181948020917038600e-01,2.727390203986294059e-01
8.844094488188974879e+01,7.488332882179843386e-02,2.628937788732181313e-01
9.070866141732282983e+01,2.774235449246233443e-01,2.524579901419247707e-01
9.297637795275589667e+01,7.625075882271651340e-01,2.383173829938972088e-01
9.524409448818896351e+01,1.272406085367243866e+00,2.255988854779107933e-01
9.751181102362204456e+01,1.807105924931272201e+00,2.143024657851565762e-01
9.977952755905511140e+01,2.366615907826449039e+00,2.044280921076160329e-01
1.020472440944881782e+02,2.950934603191888161e+00,1.959757326380891507e-01
1.043149606299212593e+02,3.560061118722165574e+00,1.889453555702267917e-01
1.065826771653543119e+02,4.166363529388395825e+00,1.834524575849548200e-01
1.088503937007873930e+02,4.771929040005950640e+00,1.824923849061658443e-01
1.111181102362204598e+02,5.342256795346785658e+00,1.929668615722521241e-01
1.133858267716535266e+02,5.952708665333116045e+00,2.015510083037225508e-01
1.156535433070866077e+02,6.470262421845541567e+00,2.274197123331898329e-01
1.179212598425196603e+02,6.911603711352923618e+00,2.647245541292479465e-01
1.201889763779527414e+02,7.276734523178682856e+00,3.134647378979431576e-01
1.224566929133858224e+02,7.565657560220077293e+00,3.736394678136985004e-01
1.247244094488188750e+02,7.782625503897216745e+00,4.155510722323613737e-01
1.269921259842519703e+02,7.905724587521353541e+00,5.126917626662443883e-01
1.292598425196850371e+02,7.948718616855914298e+00,6.270135278877693175e-01
1.315275590551181040e+02,7.911617978050678346e+00,7.585151113105200738e-01
1.337952755905511424e+02,7.794424646340079477e+00,9.071952564876016867e-01
1.360629921259842376e+02,7.597144335398979820e+00,1.073052707111261217e+00
1.383307086614173045e+02,7.444626249911810767e+00,1.169394714386838174e+00
1.405984251968503713e+02,7.346469778603119671e+00,1.237006118205765670e+00
1.428661417322834666e+02,7.265066319550962604e+00,1.242233680025873754e+00
1.451338582677165334e+02,6.964933954109817194e+00,1.356285845585669447e+00
1.474015748031495718e+02,6.787380855376690114e+00,1.392895390368693365e+00
1.496692913385826671e+02,6.615141905540819600e+00,1.422131597200649855e+00
1.519370078740157339e+02,6.448218806735478204e+00,1.443994317160867347e+00
1.542047244094488008e+02,6.286612214427802492e+00,1.458483401324954798e+00
1.564724409448818960e+02,6.130320327398851354e+00,1.465598700764866757e+00
1.587401574803149344e+02,6.030152348276341279e+00,1.467816807674007684e+00
1.610078740157480013e+02,5.906890198886442178e+00,1.453074277955176186e+00
1.632755905511810681e+02,5.795969339652923935e+00,1.439222180327387468e+00
1.655433070866141634e+02,5.697388782763962212e+00,1.426260528033424624e+00
1.678110236220472302e+02,5.611149088177705302e+00,1.414189334316996227e+00
1.700787401574802971e+02,5.537249862036502712e+00,1.403008612422869561e+00
