#Slip Speed [rpm],Torque [Nm]
1.920000000000000000e+03,2.323344020758938555e+01
1.935000000000000000e+03,2.315054038914366430e+01
1.950000000000000000e+03,2.306809386439165621e+01
1.965000000000000000e+03,2.298611024377414580e+01
1.980000000000000000e+03,2.290459839908146122e+01
1.995000000000000000e+03,2.282356650007066534e+01
2.010000000000000000e+03,2.274302204938987870e+01
2.025000000000000000e+03,2.266297191588687809e+01
2.040000000000000000e+03,2.258342236637369993e+01
2.055000000000000000e+03,2.250437909591723695e+01
2.070000000000000000e+03,2.242584725672233859e+01
2.085000000000000000e+03,2.234783148567123945e+01
2.100000000000000000e+03,2.227033593058047600e+01
2.115000000000000000e+03,2.219336427523335331e+01
2.130000000000000000e+03,2.211691976324427245e+01
2.145000000000000000e+03,2.204100522080761948e+01
2.160000000000000000e+03,2.196562307838284767e+01
2.175000000000000000e+03,2.189077539136426864e+01
2.190000000000000000e+03,2.181646385978174507e+01
2.205000000000000000e+03,2.174268984707773811e+01
2.220000000000000000e+03,2.166945439800181106e+01
2.235000000000000000e+03,2.159675825566455742e+01
2.250000000000000000e+03,2.152460187778869027e+01
2.265000000000000000e+03,2.145298545219474917e+01
2.280000000000000000e+03,2.138190891155648288e+01
2.295000000000000000e+03,2.131137194745989305e+01
2.310000000000000000e+03,2.124137402379771444e+01
2.325000000000000000e+03,2.117191438953031479e+01
2.340000000000000000e+03,2.110299209084205074e+01
2.355000000000000000e+03,2.103460598272127058e+01
2.370000000000000000e+03,2.096675473999015438e+01
2.385000000000000000e+03,2.089943686781061061e+01
2.400000000000000000e+03,2.083265071168938931e+01
2.415000000000000000e+03,2.076639446700659875e+01
2.430000000000000000e+03,2.070066618808886716e+01
2.445000000000000000e+03,2.063546379684876442e+01
2.460000000000000000e+03,2.057078509101021169e+01
2.475000000000000000e+03,2.050662775193897502e+01
2.490000000000000000e+03,2.044298935209717172e+01
2.505000000000000000e+03,2.037986736213790451e+01
2.520000000000000000e+03,2.031725915765798973e+01
2.535000000000000000e+03,2.025516202562383228e+01
