# Azimuthal angle [rad], H-plane far-field radiation pattern [V]
1.067616444952520061e+00, 1.000000000000000000e+00
1.085118353886167952e+00, 1.000000000000000000e+00
1.102620262819815844e+00, 1.000000000000000000e+00
1.120122171753463736e+00, 1.000000000000000000e+00
1.137624080687111627e+00, 1.000000000000000000e+00
1.155125989620759519e+00, 1.000000000000000000e+00
1.172627898554407411e+00, 1.000000000000000000e+00
1.190129807488055302e+00, 1.000000000000000000e+00
1.207631716421703194e+00, 1.000000000000000000e+00
1.225133625355350864e+00, 1.000000000000000000e+00
1.242635534288998755e+00, 1.000000000000000000e+00
1.260137443222646647e+00, 1.000000000000000000e+00
1.277639352156294539e+00, 1.000000000000000000e+00
1.295141261089942430e+00, 1.000000000000000000e+00
1.312643170023590322e+00, 1.000000000000000000e+00
1.330145078957238214e+00, 1.000000000000000000e+00
1.347646987890886106e+00, 1.000000000000000000e+00
1.365148896824533997e+00, 1.000000000000000000e+00
1.382650805758181889e+00, 1.000000000000000000e+00
1.400152714691829559e+00, 1.000000000000000000e+00
1.417654623625477450e+00, 1.000000000000000000e+00
1.435156532559125342e+00, 1.000000000000000000e+00
1.452658441492773234e+00, 1.000000000000000000e+00
1.470160350426421125e+00, 1.000000000000000000e+00
1.487662259360069017e+00, 1.000000000000000000e+00
1.505164168293716909e+00, 1.000000000000000000e+00
1.522666077227364800e+00, 1.000000000000000000e+00
1.540167986161012692e+00, 1.000000000000000000e+00
1.557669895094660584e+00, 1.000000000000000000e+00
1.575171804028308475e+00, 1.000000000000000000e+00
1.592673712961956145e+00, 1.000000000000000000e+00
1.610175621895604037e+00, 1.000000000000000000e+00
1.627677530829251928e+00, 1.000000000000000000e+00
1.645179439762899820e+00, 1.000000000000000000e+00
1.662681348696547712e+00, 1.000000000000000000e+00
1.680183257630195603e+00, 1.000000000000000000e+00
1.697685166563843495e+00, 1.000000000000000000e+00
1.715187075497491387e+00, 1.000000000000000000e+00
1.732688984431139279e+00, 1.000000000000000000e+00
1.750190893364787170e+00, 1.000000000000000000e+00
1.767692802298435062e+00, 1.000000000000000000e+00
1.785194711232082732e+00, 1.000000000000000000e+00
1.802696620165730623e+00, 1.000000000000000000e+00
1.820198529099378515e+00, 1.000000000000000000e+00
1.837700438033026407e+00, 1.000000000000000000e+00
1.855202346966674298e+00, 1.000000000000000000e+00
1.872704255900322190e+00, 1.000000000000000000e+00
1.890206164833970082e+00, 1.000000000000000000e+00
1.907708073767617973e+00, 1.000000000000000000e+00
1.925209982701265865e+00, 1.000000000000000000e+00
1.942711891634913757e+00, 1.000000000000000000e+00
1.960213800568561648e+00, 1.000000000000000000e+00
1.977715709502209318e+00, 1.000000000000000000e+00
1.995217618435857210e+00, 1.000000000000000000e+00
2.012719527369505101e+00, 1.000000000000000000e+00
2.030221436303153215e+00, 1.000000000000000000e+00
2.047723345236800885e+00, 1.000000000000000000e+00
2.065225254170448554e+00, 1.000000000000000000e+00
2.082727163104096668e+00, 1.000000000000000000e+00
2.100229072037744338e+00, 1.000000000000000000e+00
2.117730980971392452e+00, 1.000000000000000000e+00
2.135232889905040121e+00, 1.000000000000000000e+00
2.152734798838688235e+00, 1.000000000000000000e+00
2.170236707772335905e+00, 1.000000000000000000e+00
2.187738616705984018e+00, 1.000000000000000000e+00
2.205240525639631688e+00, 1.000000000000000000e+00
2.222742434573279802e+00, 1.000000000000000000e+00
