# Dofs, Capacitance [fF]
5.731000000000000000e+03, 7.259287512149263492e-15
5.733000000000000000e+03, 7.208779462034374912e-15
5.762000000000000000e+03, 6.746631482680869898e-15
5.807000000000000000e+03, 6.286129711848704507e-15
5.919000000000000000e+03, 5.753666348434764416e-15
5.934000000000000000e+03, 5.695676791190786400e-15
6.136000000000000000e+03, 5.484423109740541594e-15
6.285000000000000000e+03, 5.382978758464088590e-15
6.458000000000000000e+03, 5.227006362419074677e-15
6.710000000000000000e+03, 5.100057134717805531e-15
6.722000000000000000e+03, 5.095932930773449148e-15
6.986000000000000000e+03, 5.000193478155823722e-15
7.477000000000000000e+03, 4.887711601226918921e-15
7.792000000000000000e+03, 4.820346115865482406e-15
7.805000000000000000e+03, 4.819480441022020471e-15
8.993000000000000000e+03, 4.693346448522466955e-15
9.423000000000000000e+03, 4.641750529416935593e-15
9.936000000000000000e+03, 4.605768372589074814e-15
1.083400000000000000e+04, 4.541019297517011299e-15
1.087700000000000000e+04, 4.538511459165381412e-15
1.087800000000000000e+04, 4.538511459165382201e-15
1.211400000000000000e+04, 4.484482989426229224e-15
1.215400000000000000e+04, 4.482579629072335495e-15
1.217800000000000000e+04, 4.481572223864262324e-15
1.219900000000000000e+04, 4.481157741865933760e-15
1.520000000000000000e+04, 4.420178390062963195e-15
