# Dofs, Capacitance [fF]
5.776000000000000000e+03, 4.193726062692707605e-15
5.776000000000000000e+03, 4.193726062692706816e-15
5.793000000000000000e+03, 3.915109505817463346e-15
5.810000000000000000e+03, 3.826046371411714495e-15
5.929000000000000000e+03, 3.404572259492911936e-15
6.009000000000000000e+03, 3.284958655902286365e-15
6.146000000000000000e+03, 3.207830896203469374e-15
6.337000000000000000e+03, 3.109605842799113983e-15
6.367000000000000000e+03, 3.100725454158223319e-15
6.757000000000000000e+03, 3.016543767309321686e-15
7.282000000000000000e+03, 2.940893924067224865e-15
7.335000000000000000e+03, 2.927576820055882823e-15
7.455000000000000000e+03, 2.906129498025551208e-15
7.460000000000000000e+03, 2.905019546103326995e-15
8.690000000000000000e+03, 2.812318614787049133e-15
9.169000000000000000e+03, 2.786341184058879094e-15
9.271000000000000000e+03, 2.777488374744219338e-15
1.092500000000000000e+04, 2.724422407658001112e-15
1.132600000000000000e+04, 2.714960034885857583e-15
1.231600000000000000e+04, 2.693107248552223100e-15
1.284700000000000000e+04, 2.681334318601828196e-15
1.320800000000000000e+04, 2.675183815132449666e-15
1.613500000000000000e+04, 2.645937548179163688e-15
