# Number of cells, Capacitance [F]
2.774700000000000000e+04, 5.727842365077122959e-15
3.104200000000000000e+04, 4.611007421669320029e-15
3.312600000000000000e+04, 4.343657826263909451e-15
3.644500000000000000e+04, 4.248507808575824131e-15
4.010100000000000000e+04, 4.082651933688838070e-15
4.821700000000000000e+04, 3.847890438681297724e-15
5.699900000000000000e+04, 3.759270664407109424e-15
7.440400000000000000e+04, 3.667940426781488647e-15
9.563900000000000000e+04, 3.598472552287225489e-15
1.271140000000000000e+05, 3.551054132906531217e-15
