# Number of cells, Capacitance [F]
2.774900000000000000e+04, 5.637943571758656930e-15
3.087100000000000000e+04, 4.259009979125590838e-15
3.244800000000000000e+04, 4.110370850644294667e-15
3.527000000000000000e+04, 4.009571654738196677e-15
3.794100000000000000e+04, 3.881832720207889809e-15
4.756700000000000000e+04, 3.608366280722786487e-15
5.745200000000000000e+04, 3.470661330614718316e-15
6.931100000000000000e+04, 3.417366595861176153e-15
9.529500000000000000e+04, 3.350028557445159563e-15
1.301230000000000000e+05, 3.285304159461237977e-15
