# Number of cells, Capacitance [F]
2.776300000000000000e+04, 6.195546962575443127e-15
3.101100000000000000e+04, 5.189133136606063414e-15
3.360400000000000000e+04, 4.824678041795886515e-15
3.557300000000000000e+04, 4.769716992611450147e-15
3.884500000000000000e+04, 4.655611276380446335e-15
4.885700000000000000e+04, 4.357187049087558360e-15
6.276000000000000000e+04, 4.174940676302327935e-15
7.294800000000000000e+04, 4.138365877882923917e-15
9.928000000000000000e+04, 4.057440779459058134e-15
1.392480000000000000e+05, 3.982084965289128670e-15
