# Dofs, Capacitance [fF]
5.797000000000000000e+03, 5.091507918973923252e-15
5.801000000000000000e+03, 4.946393797859302480e-15
5.807000000000000000e+03, 4.848124997311369027e-15
5.851000000000000000e+03, 4.442219970839197169e-15
5.918000000000000000e+03, 4.246005480747838332e-15
6.004000000000000000e+03, 4.106990771681261346e-15
6.165000000000000000e+03, 3.933109477173104938e-15
6.392000000000000000e+03, 3.808848190841276655e-15
6.534000000000000000e+03, 3.763301000945669150e-15
6.818000000000000000e+03, 3.664722934572201897e-15
6.993000000000000000e+03, 3.614888982375564727e-15
7.486000000000000000e+03, 3.533927728249511174e-15
7.611000000000000000e+03, 3.517224035833948300e-15
8.464000000000000000e+03, 3.452874994218669882e-15
8.794000000000000000e+03, 3.415915602165790500e-15
9.554000000000000000e+03, 3.362638611293411609e-15
1.025700000000000000e+04, 3.327700948735432937e-15
1.107500000000000000e+04, 3.288583923884265474e-15
1.113700000000000000e+04, 3.285739875410916111e-15
1.114500000000000000e+04, 3.285552623152469846e-15
1.114700000000000000e+04, 3.285552623152469846e-15
1.417800000000000000e+04, 3.223017240437322164e-15
1.467100000000000000e+04, 3.212720424908514018e-15
1.558300000000000000e+04, 3.201488020919851894e-15
