# Number of cells, Capacitance [F]
2.759800000000000000e+04, 4.501563538510445897e-15
2.930000000000000000e+04, 3.684581078844288218e-15
3.133600000000000000e+04, 3.481891240316958037e-15
3.438800000000000000e+04, 3.356240903952463042e-15
3.964100000000000000e+04, 3.091880093094496667e-15
4.771400000000000000e+04, 2.934698718642580588e-15
5.534500000000000000e+04, 2.873809898187235573e-15
7.232600000000000000e+04, 2.813737457891224430e-15
9.679000000000000000e+04, 2.751577894079264447e-15
1.294720000000000000e+05, 2.717497189307916742e-15
