# Number of cells, Capacitance [F]
2.745100000000000000e+04, 6.787177672764643114e-15
3.109600000000000000e+04, 5.492314956609466555e-15
3.371600000000000000e+04, 5.079081765431345363e-15
3.734600000000000000e+04, 4.939134199179230742e-15
4.144000000000000000e+04, 4.738708878311190251e-15
4.756300000000000000e+04, 4.538666546984843340e-15
6.478700000000000000e+04, 4.328835221928583892e-15
7.468400000000000000e+04, 4.276453325701312820e-15
9.928200000000000000e+04, 4.210394574816281526e-15
1.244750000000000000e+05, 4.152569201380425029e-15
