# Dofs, Capacitance [fF]
5.736000000000000000e+03, 7.351114408442133470e-15
5.742000000000000000e+03, 7.247854970282966298e-15
5.775000000000000000e+03, 6.697784711376315054e-15
5.835000000000000000e+03, 6.343955717050205146e-15
5.956000000000000000e+03, 6.033087913738258757e-15
6.053000000000000000e+03, 5.930031422096283059e-15
6.137000000000000000e+03, 5.825136509914618098e-15
6.392000000000000000e+03, 5.570810377138750443e-15
6.576000000000000000e+03, 5.497847352433873805e-15
6.864000000000000000e+03, 5.389685446207607456e-15
7.428000000000000000e+03, 5.243325258640359587e-15
7.629000000000000000e+03, 5.191061402577630747e-15
7.982000000000000000e+03, 5.143117118032714581e-15
8.543000000000000000e+03, 5.073012635104641107e-15
8.904000000000000000e+03, 5.028547982075678033e-15
9.835000000000000000e+03, 4.960694224860815532e-15
9.852000000000000000e+03, 4.955734467472061062e-15
9.901000000000000000e+03, 4.949681634026462121e-15
1.050800000000000000e+04, 4.908924053395890162e-15
1.052100000000000000e+04, 4.908008831820116743e-15
1.166900000000000000e+04, 4.850844154781382774e-15
1.173000000000000000e+04, 4.847199563086939370e-15
1.173900000000000000e+04, 4.847057930078546777e-15
1.202000000000000000e+04, 4.820100660645105450e-15
1.211500000000000000e+04, 4.808106004098713671e-15
1.331300000000000000e+04, 4.773036267707111715e-15
1.332600000000000000e+04, 4.772700779446989855e-15
1.356700000000000000e+04, 4.765950374712656625e-15
1.356900000000000000e+04, 4.765950038423332167e-15
1.357800000000000000e+04, 4.765483469021700901e-15
1.358200000000000000e+04, 4.765391218702227265e-15
1.359800000000000000e+04, 4.764447016901785957e-15
1.362300000000000000e+04, 4.764123707898176278e-15
1.425400000000000000e+04, 4.751283894571714257e-15
1.662700000000000000e+04, 4.709907723816885015e-15
