# Dofs, Capacitance [fF]
5.753000000000000000e+03, 4.726912121466799823e-15
5.753000000000000000e+03, 4.726912121466799823e-15
5.769000000000000000e+03, 4.435183512248994101e-15
5.798000000000000000e+03, 4.166335580378140257e-15
5.916000000000000000e+03, 3.836310516676698727e-15
5.949000000000000000e+03, 3.766400217073008708e-15
6.230000000000000000e+03, 3.552142372338595645e-15
6.342000000000000000e+03, 3.487307477569753765e-15
6.512000000000000000e+03, 3.399815095268134796e-15
6.908000000000000000e+03, 3.311552932978276708e-15
7.170000000000000000e+03, 3.257260731472975544e-15
7.993000000000000000e+03, 3.179831980923193939e-15
8.441000000000000000e+03, 3.142962434421695193e-15
9.255000000000000000e+03, 3.094178381893847185e-15
1.057100000000000000e+04, 3.042634887941559575e-15
1.089600000000000000e+04, 3.029385916792564580e-15
1.091300000000000000e+04, 3.029012600889734338e-15
1.092000000000000000e+04, 3.028513046731833898e-15
1.174000000000000000e+04, 3.004455210667605873e-15
1.178600000000000000e+04, 3.002608248595759365e-15
1.348100000000000000e+04, 2.961096219349570995e-15
1.552900000000000000e+04, 2.925273875613036032e-15
