# Dofs, Capacitance [fF]
5.747000000000000000e+03, 5.014933253694973824e-15
5.750000000000000000e+03, 4.939457738689079244e-15
5.769000000000000000e+03, 4.629620275640565733e-15
5.795000000000000000e+03, 4.372425264513876299e-15
5.825000000000000000e+03, 4.267069413409061852e-15
6.044000000000000000e+03, 3.887835621675948091e-15
6.201000000000000000e+03, 3.759710115561698634e-15
6.301000000000000000e+03, 3.686560000272203253e-15
6.639000000000000000e+03, 3.574503139415130074e-15
6.907000000000000000e+03, 3.493069528224234132e-15
7.008000000000000000e+03, 3.476215213248477524e-15
7.926000000000000000e+03, 3.367465393908280711e-15
8.489000000000000000e+03, 3.316708102455394014e-15
8.495000000000000000e+03, 3.316208337349363268e-15
9.874000000000000000e+03, 3.235496882506132591e-15
1.009200000000000000e+04, 3.223312481829281918e-15
1.010400000000000000e+04, 3.222167673462871473e-15
1.011900000000000000e+04, 3.221379538409285237e-15
1.182800000000000000e+04, 3.171207005296620633e-15
1.211500000000000000e+04, 3.162043900839099207e-15
1.213300000000000000e+04, 3.161735767465682530e-15
1.604700000000000000e+04, 3.077398247706072746e-15
