# Number of cells, Capacitance [F]
2.747000000000000000e+04, 5.906603591430078128e-15
3.111800000000000000e+04, 4.774580694421089144e-15
3.284100000000000000e+04, 4.589609099931250979e-15
3.609400000000000000e+04, 4.396713583740076083e-15
4.060100000000000000e+04, 4.198638933984765320e-15
4.849900000000000000e+04, 3.968728784425676448e-15
5.614400000000000000e+04, 3.882813176688221402e-15
7.173100000000000000e+04, 3.801306576348979818e-15
9.711900000000000000e+04, 3.727996507599159885e-15
1.324010000000000000e+05, 3.672458325705681072e-15
