# Number of cells, Capacitance [F]
2.769200000000000000e+04, 5.881765010667712611e-15
3.030900000000000000e+04, 4.638840352015300780e-15
3.194100000000000000e+04, 4.304690008067813935e-15
3.403700000000000000e+04, 4.230814101425201731e-15
3.658000000000000000e+04, 4.131082696785988559e-15
4.695900000000000000e+04, 3.759574275249178767e-15
5.558400000000000000e+04, 3.669265487686161892e-15
6.954900000000000000e+04, 3.579507032380345383e-15
9.704500000000000000e+04, 3.493141170397091266e-15
1.278940000000000000e+05, 3.423283051917397158e-15
