# Number of cells, Capacitance [F]
2.757400000000000000e+04, 7.241398217796992341e-15
3.193100000000000000e+04, 5.568712522218707642e-15
3.342800000000000000e+04, 5.299736332559184170e-15
3.601100000000000000e+04, 5.210490890773324118e-15
3.906100000000000000e+04, 5.016097288834436017e-15
4.714000000000000000e+04, 4.740090232749620474e-15
6.032300000000000000e+04, 4.550594852573040600e-15
7.246600000000000000e+04, 4.452940393510654339e-15
8.749200000000000000e+04, 4.398321364280942830e-15
1.212750000000000000e+05, 4.324797610813003228e-15
