# Dofs, Capacitance [fF]
5.830000000000000000e+03, 6.194788704773193088e-15
5.833000000000000000e+03, 6.125187299720247179e-15
5.867000000000000000e+03, 5.602813625865314306e-15
5.902000000000000000e+03, 5.351345977651317729e-15
5.971000000000000000e+03, 5.106817134876244433e-15
6.177000000000000000e+03, 4.841356480057875654e-15
6.372000000000000000e+03, 4.721860427475828608e-15
6.580000000000000000e+03, 4.619205201388072992e-15
6.722000000000000000e+03, 4.538515114300693276e-15
6.824000000000000000e+03, 4.497279278259466482e-15
7.185000000000000000e+03, 4.411668939218310975e-15
7.668000000000000000e+03, 4.341929212029260346e-15
8.404000000000000000e+03, 4.249420413402533255e-15
8.550000000000000000e+03, 4.232695240906054475e-15
9.433000000000000000e+03, 4.147808531062042760e-15
9.439000000000000000e+03, 4.147493071336649972e-15
9.496000000000000000e+03, 4.137562822525378455e-15
1.111600000000000000e+04, 4.048926990112685480e-15
1.122400000000000000e+04, 4.043081456959088679e-15
1.131900000000000000e+04, 4.039579069572198591e-15
1.319100000000000000e+04, 3.984159193129662647e-15
1.321200000000000000e+04, 3.983698008349000890e-15
1.324900000000000000e+04, 3.983023262981652819e-15
1.758400000000000000e+04, 3.917617501899438617e-15
