# Number of cells, Capacitance [F]
2.739300000000000000e+04, 7.842154410246481004e-15
3.203300000000000000e+04, 5.933006407554005416e-15
3.246800000000000000e+04, 5.798854257352126022e-15
3.557500000000000000e+04, 5.624894007623777252e-15
3.830400000000000000e+04, 5.489751651745328931e-15
4.803500000000000000e+04, 5.109128305823963405e-15
5.694800000000000000e+04, 4.932350862733342701e-15
7.127100000000000000e+04, 4.834998031429596841e-15
9.133800000000000000e+04, 4.738396426047143132e-15
1.175200000000000000e+05, 4.662116676693051619e-15
