# Number of cells, Capacitance [F]
2.753900000000000000e+04, 8.275312581895284365e-15
3.225500000000000000e+04, 6.542568283319919981e-15
3.397700000000000000e+04, 6.285366028377635504e-15
3.613200000000000000e+04, 6.168213836076048280e-15
3.999400000000000000e+04, 5.993929438574515779e-15
5.197900000000000000e+04, 5.544485788440647862e-15
6.226600000000000000e+04, 5.381711517895013974e-15
7.587900000000000000e+04, 5.269329554484857318e-15
9.613800000000000000e+04, 5.193767646011653778e-15
1.098610000000000000e+05, 5.150874100239162974e-15
